"thread_titles","thread_links","poster_ids","time","posts","category"
"regarding MRI report","https://www.medhelp.org/posts/Epilepsy/regarding-MRI-report/show/1896733","Arti  Sharma, M.D.","2013-02-12T09:11:06-05:00","Hello,I can confirm the exact cause of your condition only after knowing your complete medical history, clinical examination and correlation of the test results. These findings on the MRI can be seen in any infection, inflammation or malignancy involving the central nervous system. White matter odema is seen in primary demyelinating disorders, infectious, neoplastic, post-traumatic and metabolic disorders .Angiopathy could be seen in leucoencephalopathy, stroke, hypertension or collagen vascular diseases like SLE etc.A clinical correlation of MRI findings is very important. Write to me again with more details.Best wishes and regards!","answer"
"Seizures","https://www.medhelp.org/posts/Epilepsy/Seizures/show/730587","pmdk","2009-01-08T21:16:21-05:00","Our daughter who is 18 had her 1st seizure in Aug.  She was not put on medication.  Cat scan, MRI, and EEG showed nothing.  She just had another episode but this week and this time they are calling it a Syncope.  I spoke to the neurologist and over the phone he called it a seizure.  Should we be seeking a neurologist who specializes in seizures.  If test results are all negative is she considered to have epilepsy?","question"
"Seizures","https://www.medhelp.org/posts/Epilepsy/Seizures/show/730587","lisasboo31","2013-02-20T08:12:06-05:00","I am 32 and i just started having sezuires this past christmas and they have started me on two meds now i am having a EEG done next week i am scared out of my mind i will be ammited in the hospital for this and i know what they are doing but what if it shows normal what do they do then please help me to understand","answer"
"Seizures","https://www.medhelp.org/posts/Epilepsy/Seizures/show/730587","pmdk","2009-01-10T21:21:35-05:00","Thank you all for your responses and words of encouragement.  I will take all of this info with me to get the tests done that we need.  Our daughter is okay physically (from the seizure) at this point but from the fall she dislocated her shoulder so she is recovering from that.  She was close to 6 months not driving, now she will not be able to drive for a longer period.  For a teenager this is hard to take although she does understand why she is not able to drive.This is the 1st time I have ever participated in a discussion group like this and I just want all of you to know how helpful reading your responses has been.","answer"
"Seizures","https://www.medhelp.org/posts/Epilepsy/Seizures/show/730587","Dr    Santos","2009-01-09T21:26:34-05:00","Hi, How is your daughter? A normal EEG does not exclude epilepsy because between seizures the brainwave patterns could be normal. During an outpatient's standard EEG there may be no abnormal activity occurring in the brain, so several EEGs may be needed. Other ways in which the EEG is used to detect epileptic activity include sleep EEG, ambulatory EEG, or Video-telemetry. This is a test that uses a video camera linked to an EEG machine. The camera will visually record your movements and at the same time the EEG machine will record your brainwave pattern. Both the video and EEG are stored onto a computer that can be reviewed once the test is finished. Discuss this with your doctor for proper evaluation. Take care and regards.","answer"
"Seizures","https://www.medhelp.org/posts/Epilepsy/Seizures/show/730587","JKJ","2009-01-09T14:19:57-05:00","My son has Frontal Lobe Epilepsy, and all these years all of his EEGs have always been normal, yet when he has been hospitalized so that they can do sleep EEGs...they see his seizures in person...still with normal EEGs.So yes, find a neuro-doc who specializes in epilepsy (I forget what they are called, but it's a really long word).  And be persistent and insistent!!!","answer"
"Seizures","https://www.medhelp.org/posts/Epilepsy/Seizures/show/730587","kay221","2009-01-08T22:49:20-05:00","If youve had more than 1 seizures I believe its then called epilepsy. Go see a neurologist. Same thing happened to me but my EEG was positive. I guess that when you have an EEG, if the spike is less than 3 seconds long its in the ""normal"" range. I had a friend who had the same problem with the EEG being normal. Finally she went and her EEG was just at the cutoff. She started taking meds and shes much better. Maybe your daughter should try a 24 hr EEG. Theyll give her a little fanny pack like box to bring home and shell come back in the morning. In the meantime, get a referral for a good neurologist.","answer"
"epileptic","https://www.medhelp.org/posts/Epilepsy/epileptic/show/1897357","zuera","2013-02-10T14:35:48-05:00","hye..i just want to know a women who dignosed epilepsy can pregnant or not and isnt she need to changed other medication.","question"
"epileptic","https://www.medhelp.org/posts/Epilepsy/epileptic/show/1897357","zuera","2013-02-15T05:04:23-05:00","Thanks for ur response hope u n ur bby getting well..","answer"
"epileptic","https://www.medhelp.org/posts/Epilepsy/epileptic/show/1897357","mac_19813","2013-02-11T07:36:54-05:00","I was diagnosed with epilepsy in 2010 shortly after my daughter was born. Last year me and my partner decided we wanted another baby so we went to talk to our doctor and she prescribed me folic acid as you need a higher dose than you can get in the shops. We started trying last March and now I'm currently 15 weeks pregnant. I would suggest the 1st thing to do if you want a baby is speak to your doctor and if you don't I'd ask about contraception","answer"
"seizures and bipolar","https://www.medhelp.org/posts/Epilepsy/seizures-and-bipolar/show/966949","judybob","2009-06-03T14:45:13-04:00","my daughter is 15 years old and was diagnosed with bipolar about a year ago.  A few months later she started having seizures.  Has anyone else been diagnosed with bipolar prior to seizures?","question"
"seizures and bipolar","https://www.medhelp.org/posts/Epilepsy/seizures-and-bipolar/show/966949","megan52","2013-02-12T02:35:16-05:00","I hit my head in December, Diagnosed with Bipolar disorder on June 2, 2009, and started having seizures around June 2012. So yes, I was diagnosed as being Bipolar before seizures.  However, I swing so fast and so suddenly, and for such a short and intense period of time that it has become suspect that the mood swings are actually extended seizures in the hippocampus/Frontal lobe area (If I'm remembering that correctly, It's been about a year). Both ailments are under control with 300mg Lamictal, which increases the suspicion that the ""Bipolar"" mood swings are seizures.","answer"
"seizures and bipolar","https://www.medhelp.org/posts/Epilepsy/seizures-and-bipolar/show/966949","megan52","2013-02-12T02:32:33-05:00","I hit my head in December, Diagnosed with Bipolar disorder on June 2, 2009, and started having seizures around June 2012. So yes, I was diagnosed as being Bipolar before seizures.  However, I swing so fast and so suddenly, and for such a short and intense period of time that it has become suspect that the mood swings are actually extended seizures in the hippocampus/Frontal lobe area (If I'm remembering that correctly, It's been about a year). Both ailments are under control with 300mg Lamictal, which increases the suspicion that the ""Bipolar"" mood swings are seizures.","answer"
"seizures and bipolar","https://www.medhelp.org/posts/Epilepsy/seizures-and-bipolar/show/966949","sam1983125","2011-08-23T09:31:30-04:00","I suffered from both illnesses as a child more signifcantly as a teen, and now in my adult life I am fully diagnosed and monitored by my physicians and clinics as having bipolar 1 and epilepsy, there is some relation to the two, but as a gene carrier of the two disorders, I feel the seizures started first at infancy, and progressed to full blown myoclonic and partial focal seizures as an adult. My brother aswell father and grandfather aswell suffer with seizures, and mental illness. Its difficult even for me to understand which disease is affecting me at the time it happens all I know is that in mania I dont get exhausted afterwords or have short term memory loss from my episodes, in siezures I can tell the difference with the partial seizures because you learn to recognise the onset of the seizure, the myoclonic siezures I come to understand need to be encouraged almost but not all of the time or something triggers them, for instance extreme adrenaline change or physical activities sometimes depending on what it is can trigger those seizures for me anyhow. As for the bipolar disorder it is pretty much under control from my siezure medication, but when having mania and epilepsy sometimes its even difficult for me to recognise the difference between the two, all accept for the symptoms of the two, usually you dont gernerally know until after the incident occurs do you know which episode from which disorder had ocurred at the time.When being born with both in the family you learn to recognise which is which over time, but it takes knowing your body, and understanding the symptoms and affects or reactions of both disorders, hope this helps.","answer"
"seizures and bipolar","https://www.medhelp.org/posts/Epilepsy/seizures-and-bipolar/show/966949","dollyn","2010-08-11T14:37:52-04:00","This is very hard because if she was on Drugs for the bipolar they could have caused the Seizures because some Drugs have the side effects that can cause seizures. And the other thing is that the stress of the seizures can do a lot to a person. And what might look like Bipolar is really Seizures and is Misdiagnosed for Bipolar and ADD /ADHD .Try giving Vitamin B6 ,B12 and Omega 3-6-9  and not the other drugs they use to treat Bipolar .These are very good for the brain.God bless and hope this helps some.","answer"
"seizures and bipolar","https://www.medhelp.org/posts/Epilepsy/seizures-and-bipolar/show/966949","houstontx67","2010-08-04T23:45:42-04:00","hi I have a 17 year old that started fainting, these in turn have changed to seizures, she has seen neurologists and have been told they are pseudoseizures, at the same time during an interview at a hospital visit, she was referred to a psychiatrist for depression and was diagnosed bipolar, though she also has a cyst in her pituitary gland which was found during routine exams.   Her psych doctor is sure the cyst is causing some kind of hormone imbalance so next is a visit the doctor to get those hormones checked and hopefully help the doctors, it seems that they don't like to think or go beyond the easy diagnose. As the psych put it, since they don't have an answer for me the easiest thing is to call it psedoseizures ""fake seizures' good luck","answer"
"seizures and bipolar","https://www.medhelp.org/posts/Epilepsy/seizures-and-bipolar/show/966949","ArcticRecon","2009-10-24T01:01:16-04:00","I have post traumatic epilepsy.  I recently have been put on Lamotrigine (lamictal)  which has been the best anti convulsant for me so far.  It is actually a bi polar medication which happens to be a very strong seizure med.. so this may be something that would benefit your daughter.. just in case u weren't aware of the med.  Hope this helps!bestMark","answer"
"seizures and bipolar","https://www.medhelp.org/posts/Epilepsy/seizures-and-bipolar/show/966949","photohiker","2009-10-11T19:15:31-04:00","I also struggled with seizures as a child and then bipolar as an adult and can't but feel subjectively that they are related.  Of course, the overlap of anti-convulsants to treat bipolar certainly seems to point to a relationship between the two.-- Travis","answer"
"seizures and bipolar","https://www.medhelp.org/posts/Epilepsy/seizures-and-bipolar/show/966949","Sisteranita3","2009-06-04T08:09:04-04:00","Sorry, I suffer both ailments however, I began with the seizures as an infant.  The Bipolar began as an adult.I would, however, be very interested to know if there is a connection and would hope that you would post any info you get on this forum.  I will add your question to my ""watch list""Thanks, Anita","answer"
"shaking on right side of body","https://www.medhelp.org/posts/Epilepsy/shaking-on-right-side-of-body/show/1893004","Denis3nadin3","2013-02-02T22:15:46-05:00","I been having shaking on right side of body and my head shakes to is that a seizure going on? I notice when I am relax or trying to sleep my right side shakes bad.. and I keep smelling that nasty smell out of my right nose. I am on Lamictal XR  200mg today neru up 100mg now on 300mg Any information would help..","question"
"shaking on right side of body","https://www.medhelp.org/posts/Epilepsy/shaking-on-right-side-of-body/show/1893004","Denis3nadin3","2013-02-10T21:56:05-05:00","Went to neru the shaking on my rite side was a seizure I was having the up my meds and now its much less and for the jerking was on xanax so the switch it to klonpin and that is a lot less","answer"
"shaking on right side of body","https://www.medhelp.org/posts/Epilepsy/shaking-on-right-side-of-body/show/1893004","Denis3nadin3","2013-02-04T10:16:39-05:00","I been noticing when I have that olfactory smell out of my right nose that's when the shaking starts on my right side of my body does that have something to do with the seizure??","answer"
"shaking on right side of body","https://www.medhelp.org/posts/Epilepsy/shaking-on-right-side-of-body/show/1893004","Arti  Sharma, M.D.","2013-02-04T09:04:28-05:00","Hi there,I think you may be suffering from tremors. Stress and anxiety both can trigger tremors. Tremors are also a side effect of lamictal.The other common causes of tremors are hyperthyroidism,medications,fever,infection etc.A complete history of your illness, clinical examination and work up is important for confirming the diagnosis. Do consult your doctor and get evaluated. Keep me posted.Best luck and regards!","answer"
"injury from seizure fall","https://www.medhelp.org/posts/Epilepsy/injury-from-seizure-fall/show/1890734","runsincircles","2013-01-30T06:56:11-05:00","3 months ago I had a seizure and fell out of bed, and I have a huge bruise on my arm/shoulder that's finally going away.  My chronic back pain has gotten progressively worse since then and in the past week I've developed a sharp shooting pain in the same shoulder.  Around the same time as the seizure I started a treatment that causes muscle pain/fatigue and flu like symptoms.  I contributed the back pain to the treatment as I was told it would probably get worse.  Is it possible that all this time I've been dealing with an injury from the fall.  Could this shoulder pain be related as well, even though it's been 3 months?  The pain wakes me up at night and makes it hard to stand at times.  I had bad pain in my back before the treatment but it's getting severe.  I've dealt with chronic pain most of my life but never anything this severe.  Should I call my dr or wait til I'm done with this treatment (2 more months) and see if it goes away?  I should add, at the beginning I had severe upper leg pain/fatigue, but this is also a very common side effect of the treatment and seems to have subsided somewhat.","question"
"injury from seizure fall","https://www.medhelp.org/posts/Epilepsy/injury-from-seizure-fall/show/1890734","runsincircles","2013-02-02T10:34:51-05:00","I should add that all the results from my cbc are dropping but only my platelets are low enough to consider intervention.","answer"
"injury from seizure fall","https://www.medhelp.org/posts/Epilepsy/injury-from-seizure-fall/show/1890734","runsincircles","2013-02-02T10:23:24-05:00","thanks for the response.  The treatment is Pegasys and Ribavirin for hcv.  The only other new med I'm on in the last 3 months is zofran for nausea and they raised my trileptal from 300mg to 600mg when I had the seizure.  Most of these symptoms can be associated with the Peg/Riba (including neuropathy ) I just didn't know if this shoulder pain could be a delayed pain from the injury.   After the treatment we are going to evaluate and figure out how to treat the back pain, but we wanted to get the hcv taken care of first.  Can the things you mentioned cause more damage if I wait to get it checked out since I've already waited this long?  Can it actually take 3 months for pain from a shoulder injury to show up?  Aside from dropping a few things I've had no other symptoms in my hand/arm.  This can also be contributed to a loosening of the joints (like in pregnancy) from this treatment.","answer"
"injury from seizure fall","https://www.medhelp.org/posts/Epilepsy/injury-from-seizure-fall/show/1890734","Arti  Sharma, M.D.","2013-02-02T05:51:16-05:00","Hi there,It may be difficult to confirm the exact cause of your symptoms without examining you. It may be possible that you have suffered tendinitis, bursitis or any rotator cuff tear. If you are also experiencing tingling, numbness along with pain in shoulders and hands then it could possibly be due to brachial plexus neuropathy. What medication are you taking? Lamotrigine can lead to back pain, joint pains. It is best to seek medical consultation. A physical examination is important and investigations will provide more information. I hope it helps.Best luck and take care!","answer"
"pregnancy and seizures","https://www.medhelp.org/posts/Epilepsy/pregnancy-and-seizures/show/1885754","raiderzbaby","2013-01-22T20:03:16-05:00","I am 30 years old and pregnant with my 2nd child since having my first child my seizures have become more frequent and worse. Having no less then 8 back to back when they start. I am currently taking keppra 5000 mg vimpat 400 mg a day as well as having the VNS implant in my chest at a very high setting nothing seems to be helping is any one else having the same kind of problems? Or complications while they are pregnant or became pregnant?","question"
"pregnancy and seizures","https://www.medhelp.org/posts/Epilepsy/pregnancy-and-seizures/show/1885754","raiderzbaby","2013-01-30T20:33:22-05:00","Thank you for you input was hoping there was someone out there with the same problem so I could suggest some  options to my doctor to try since we are all at a loss right not","answer"
"pregnancy and seizures","https://www.medhelp.org/posts/Epilepsy/pregnancy-and-seizures/show/1885754","teddybears4ever2","2013-01-23T10:39:28-05:00","As we are not doctors here we can only give you so much advice.  I think the best thing to do is work with your doctors.  I wish you luck, and please be sure to come back and update us when you find out more.","answer"
"video eeg","https://www.medhelp.org/posts/Epilepsy/video-eeg/show/1880706","brainpain","2013-01-15T10:09:17-05:00","i have had grandmal seizures for 30 years. i just got my first 24hr video eeg and i was told by the nurse that my results did show seizure activity on the left side . i didnt have a seizure while in the hospital. i just want to know if anyone has any idea of what the seizure activity on left side means. i dont go to my neuro for a couple mnts. i have had just eegs and it was just fast ones. any ideas ,thanks for your time,","question"
"video eeg","https://www.medhelp.org/posts/Epilepsy/video-eeg/show/1880706","brainpain","2013-01-19T23:34:53-05:00","i kno ur not docs .. i just wanted to kno if anyone has been told same thing..","answer"
"video eeg","https://www.medhelp.org/posts/Epilepsy/video-eeg/show/1880706","teddybears4ever2","2013-01-17T13:27:42-05:00","We are not doctors here, just people who have had some knowledge of Epilepsy.  I think if you are that confused you should give your doctor a call and see if it can be discussed with you over the phone.","answer"
"Types of Epilepsy","https://www.medhelp.org/posts/Epilepsy/Types-of-Epilepsy/show/1878941","Bri_1985","2013-01-12T17:08:35-05:00","My hubby has been having seizures since August of 2012. He's being seen by a neurologist but they've not been able to tell what the cause is yet. Today he had at least 2 confirmed seizures though the Dr at the ER he went to via ambulance thinks there might've been more from my hubby's description of 2 other incidences. And they've diagnosed him as Epeleptic. They didnt say what type though because they want me to contact his neurologist first thing Monday morning.So I was wondering what types there are. He doesnt have the tremors all the time but does pass out though from my view its like hes sleeping. And he loses his hearing a lot afterwards though it gradually comes back but has an annoying ringing in one if not both ears afterward.","question"
"Types of Epilepsy","https://www.medhelp.org/posts/Epilepsy/Types-of-Epilepsy/show/1878941","Bri_1985","2013-01-18T19:55:12-05:00","My hubby had seizures at work today. Drs dont know the cause. I just want some help as Im afraid for him. I love him so much as do my kids and all this has been very traumatic for all of us.","answer"
"Types of Epilepsy","https://www.medhelp.org/posts/Epilepsy/Types-of-Epilepsy/show/1878941","Bri_1985","2013-01-16T17:04:19-05:00","Bump","answer"
"Types of Epilepsy","https://www.medhelp.org/posts/Epilepsy/Types-of-Epilepsy/show/1878941","Bri_1985","2013-01-12T22:16:30-05:00","Anyone?","answer"
"does anyone have an infant with Epilepsy and is on Keppra?","https://www.medhelp.org/posts/Epilepsy/does-anyone-have-an-infant-with-Epilepsy-and-is-on-Keppra/show/988151","Dirtsy","2009-06-30T23:14:02-04:00","My son is 14 months old and was recently diagnosed with epilepsy 3 weeks ago. His 1st seizure was just a jerk to the right leg and his eyes were fixed to the side and was not responding. Took him to the E.R and they dismissed him after doing general blood tests. 1 hour after I got home he had a Tonic Clonic seizure and turned blue. I called 911. They look him to Children Hospital in St. Paul. They put him the Epilepsy Unit and did an EEG. They found 5 other Myclonic seizures in his sleep. MRI looked fine and all blood tests came back fine. They diagnosed him with Generalized Infant Benign Epilepsy. They put him on Keppra. So far I have only witnessed 2 little jerks, I guess they are Myoclonic seizures. I noticed that he has not been sleeping well at all. He also cries alot over little things, where he never cried much at all.   Is there anyone else that has an Infant on Keppra? Have they experienced the same symtoms? Do they go away?Is there anyone that had an infant that outgrew these kind of seizures? I am told that generalized seizures are not as common as partial seizures. Can anyone give me their story?  Thanks, Heidi","question"
"does anyone have an infant with Epilepsy and is on Keppra?","https://www.medhelp.org/posts/Epilepsy/does-anyone-have-an-infant-with-Epilepsy-and-is-on-Keppra/show/988151","Lydiahoops","2013-01-17T17:51:47-05:00","My daughter started having seizures at 4 months....she basically starts to jerk on one side of her body and her eyes just stare off with one eyelid flutering. she is now 9 months and has had 4 seizures. they have her on Keppra but don't know what is causing the seizures.....How did they find out your childs diagnoses? any info would be helpful","answer"
"does anyone have an infant with Epilepsy and is on Keppra?","https://www.medhelp.org/posts/Epilepsy/does-anyone-have-an-infant-with-Epilepsy-and-is-on-Keppra/show/988151","palomaloma","2013-01-04T18:54:58-05:00","Lifewithannag.blogspot.com","answer"
"does anyone have an infant with Epilepsy and is on Keppra?","https://www.medhelp.org/posts/Epilepsy/does-anyone-have-an-infant-with-Epilepsy-and-is-on-Keppra/show/988151","jughead281","2011-04-01T20:33:14-04:00","My daughter is on Keppra and we honestly haven't had any real problems. She had a prolonged partial seizure when she was six years old.  With the doctors direction we started her on Keppra.  She is ten now and has been completely seizure free.  She has mesial temporal sclerosis/temporal lobe epilepsy.  It is hard to figure the behavioral thing giving she was only six when she started.  Good Luck and may the Lord watch over you and your family.","answer"
"does anyone have an infant with Epilepsy and is on Keppra?","https://www.medhelp.org/posts/Epilepsy/does-anyone-have-an-infant-with-Epilepsy-and-is-on-Keppra/show/988151","liko","2011-03-16T17:25:12-04:00","I know this blog is late but I just found out that my 1 yr old daughter has seizure disorder. They haven't told me exactly what kind of seizures she's got and i am totally clueless to seizures. She was 10 months old when she had her first big seizure. It happened while she was sleeping. I saw her eyes open and fixated upwards, one arm and one leg was jerking and she had drool and a little bit of vomit all along her mouth and the bed. I called 911 and they put in an iv and gave her valium. They stopped the seizure but it lasted 30 minutes. They took her to the ER via ambulance and her life hasn't been the same since. Like your little one, she was put on Keppra (200mg daily). She used to sleep and not get up all night but after the seizure, she hasn't slept the night since. She's totally cranky and always whining or crying. Prior to the ""BIG"" seizure i only noticed her jerking movements once in a while when she was newborn to about 8 months. Nothing big, in fact, i didn't know that those could be possible seizures. The ""BIG"" one took us by surprise. So, now all i do is wake up for her at night and constantly carry her because she always wants comfort. Hope all has been well since your blog in 2009. Any information you can give me about the Keppra would be much appreciated and extremely helpful! thanks","answer"
"does anyone have an infant with Epilepsy and is on Keppra?","https://www.medhelp.org/posts/Epilepsy/does-anyone-have-an-infant-with-Epilepsy-and-is-on-Keppra/show/988151","christian120805","2009-07-21T21:51:30-04:00","My son has been on Keppra since he was 3 months old, he is 3 now and still on it.  It works well with other meds.  I know that this med can cause behavioral problems.  If you do some research you will find that one of the side effects of Keppra is irritability.  Things will even out as he gets used to the med but if this is a problem I know it will continue to be a problem.  My son still gets cranky from this med. I also know that a seizure can cause them to be a little cranky too.  Hope this helps a little.  GOOD LUCK AND GOD BLESS!!","answer"
"does anyone have an infant with Epilepsy and is on Keppra?","https://www.medhelp.org/posts/Epilepsy/does-anyone-have-an-infant-with-Epilepsy-and-is-on-Keppra/show/988151","cell88","2009-07-04T20:38:47-04:00","get him off keppra","answer"
"does anyone have an infant with Epilepsy and is on Keppra?","https://www.medhelp.org/posts/Epilepsy/does-anyone-have-an-infant-with-Epilepsy-and-is-on-Keppra/show/988151","vickilynnpurdy","2009-07-04T11:04:14-04:00","Hi there!! So glad you posted your note. It is awesome to have someone else with a like sitaution to talk to. We have an almost twenty four month old buy. He has been having seizures since he was just a little baby. We first noted them at about six months old. Took him to the dr then but the eg was normal so even though we had taken in vidoes of the seizures the dr was not willing to medicate until an actual finding showed on tests....Seizures continued for months until one day after having multiple seizures and calling the neuro office and being told that he would out grow it, I took him to his regular pediatrician....and just in time too I might add. As we walked in the door he had a tonic clonic seizure, stopped breathing and was immediately admitted to the hospital and started on phenobarbital..another eeg was done....NORMAL RESULTS AGAIN!!..No seizures during the eeg, so.......He was on the phenobarb for several months but it just turned a normally happy little fellow in to a grouchy man!! and his sleeping was just rediculous!! he had always slep but all of a sudden he was waking at night and...oh it was aweful....We were sent  way out of town to Indianapolis to see a neurologist there at the childrens hospital. Dr. Sokol is an awesome neurologist. She did an MRI gave us some pretty sad results changed his meds tovalproic acid and boy has life changed for us...sleeps again....Happy again...and  thoguh the seizures have not completely stopped, things have improved. He too had generalized epilepsy and had many tonic/ tonic clonic/ myoclonic and absence seizures...The very worst of him were the atonic. he so many many times fell and hit his little head...oh my it was aweful!!! he now wears a hlemt and it is such a blessing!!! no more boo  boos!!!!....Talk to the dr about a change in meds. There are many out there....and children all differ....so continue on until you find the med that is right for you!!!!  Blessings!!","answer"
"Lamictal Behavorial Problems","https://www.medhelp.org/posts/Epilepsy/Lamictal-Behavorial-Problems/show/1190443","wbmom","2010-03-08T09:04:11-05:00","HELP!!!  Our son has had epilepsy since he was 2 years old.  He now is 38.  Seizures have never been really controlled with nocturnal seizure a given.  He is in a group home and recently he started to have severe behavorial problems such as grabbing and tearing a caregivers shirt and punching.  His meds are lamictal,400 mg. phenytek 200 mg. tegretol xr 800 mg, clonazepam 7 mg.  Also just started citalopram from his GP for mood swings.  Need input so when I talk to the neurologist today with some questions!","question"
"Lamictal Behavorial Problems","https://www.medhelp.org/posts/Epilepsy/Lamictal-Behavorial-Problems/show/1190443","bobobunny1","2013-01-13T10:23:05-05:00","Hi Dollyn. Some of that is true, but you have to find your own way, since every single person has different feelings about their seizures. I started having them at 8 years old, and the first medications that they put me on turned me into a relative Zombie. Epilim made me fall asleep all the time, Phenabarbitone turns someone into a person who feels fatigue most of the time. The only perople who would recommend these would have been people who had never actually taken them. Seeing someone you love suffer symptoms of seizures, or, side effects of them is bad enough, but going through even one seizure is devastating, exhausting, and humiliating. At the time you tell everyone you are o.k. but just feel like a circus freak. I wouldn't wish it on my worst enemy. The only tablet that did anything great was Lamotrigine - it revolutionised the amount of energy I had, and finally, I didn't have to suffer feeling ashamed in front of strangers.Please dont think every group home is so bad. I work in one and I am now a Registered Manager. Most places treat people with respect and care for them genuinely. Dont judge them all based on a few. But recently Keppra was added to my own medication, and I have not suffered any seizures since then. I cant explain to someone who has not suffered even one, but although I have mood swings, snap at people, and behave irratically, anything that can take seizures away will be considered. If I thought they would come back if I gave up medication, I would make a deal with the devil to take them away again. Suffering seizures is a nightmare. I have found taking a tablet called Ex-Stress, and taking vitamin B12 helps a lot. Also, just because someone has epilepsy doesnt make them less intelligent. I have 4 grade A 'A' Levels, 3 years at University, and level 5 professional qualifications. There are professors with it, and Mozart had it badly. Send love to your son, and I hope his life improves. God bless you.","answer"
"Lamictal Behavorial Problems","https://www.medhelp.org/posts/Epilepsy/Lamictal-Behavorial-Problems/show/1190443","faith4","2010-05-10T07:11:09-04:00","my sister is 31 years old and has had seizures since she was very small. shes been on every med out there and they gave such bad side effects that after the fifth or more attempt at suicide and bad anger outburst she just stopped takin her meds and decided she was better off with the seizures than her sons finding her dead.  but then she couldnt take that either so after a while of having seizures while walking around or doing the dishes and sometimes getting very injured she did some research and started taking more vitamens but also she found valumes were used to control seizures sometimes and it took a while but she got a doctor to listen to her and she tried it she hasnt had a seizure since and seems to be more contoll of her mood swings. i dont know if it works for everyone or is the best option but it worked for her so far.","answer"
"Lamictal Behavorial Problems","https://www.medhelp.org/posts/Epilepsy/Lamictal-Behavorial-Problems/show/1190443","UofC98","2010-05-04T08:56:07-04:00","I'm 41 and have been on seizure medication since I was 17.  i have been on all the above medication at one time or another.  In my late teens and early twenty's it wasn't fun be around me.  Upset at what was happening to me, embarrassed, and severely affected by the poor medication prescribed and the dosages given.  Dilanten, was horrible for me, Phenobarbital was bad as well and Tegretal was ineffective.  It wasn't till I met Dr. Sphere from the University of Chicago hospitals that my life changed in a positive way.  I was 19 very depressed and volatile. He immediately got me on the correct medication and I'm still on it today (Depakote!!!)  U of C hospital is a teaching hospital and Dr. Sphere is a well know Doctor in this field, it's very hard to even get an appointment to see him.  I haven't seen him in probably 15 years or more.  Most Doctors aren't able to prescribe the right meds for people with seizure disorders, so do some in depth checking on these guys, sometimes they can really mess u up with the wrong medication.  You can definitely function with this problem,  your son can be helped too like I WAS.","answer"
"Lamictal Behavorial Problems","https://www.medhelp.org/posts/Epilepsy/Lamictal-Behavorial-Problems/show/1190443","dollyn","2010-04-26T07:20:33-04:00","First do you know what kind of care your son is getting in this home.Many of these homes don't take care of the people who live there very well and don't treat them as people.I will never let any of my family go into one of those homes.I have seen what they have done to people and my husband use to work for one in upstate ny and when he said something about how they treated the people there, he was let go the very next day when he went to work .  My son Teacher brother lives in a home and she hates the places and has had to call them many times on what needs to be done and they tell her that her brother needs to tell them.she reminds them that he can't tell them and if he could he wouldn't be in a place like this if he could do things for himself.First thing I would do is get him out of there and back with family to care for him . The side effects of these Medicines can change a person.And like some one else said try giving him Vitamin's  like Vitamin B6 and Vitamin B12 and a MultiVitamin and Omega 3-6-9 these are very good for the brain.I give these to my son who is 11 and it has helped him some,it took about a month to noitce.His noroligest should be checking his blood levels for his medicines that he is taken to make sure the levels are where they should be .My son gets his levels checked every 3 to 4 months to make sure they are where they should be.At one time my son levels where very low on one of his medicines so the doctors upped them and then one day I went into the bathroom and found that this medicine was coming out when he was going to the bathroom.So the medicine was changed to a different form of it and then his levels where fine.But they still get checked 4 times a year if not more than that.Stress and anzitey can play a big role in how things are going for your son.See if something has changed where he lives.","answer"
"Lamictal Behavorial Problems","https://www.medhelp.org/posts/Epilepsy/Lamictal-Behavorial-Problems/show/1190443","zonegranholiday","2010-04-23T20:43:41-04:00","It looks like your son is taking too many meds.  I'm not a dr but i have had epilepsy since the age of 6 months and have never been on that many different drugs all at one time. See if you can't get your son on some old fashioned dilantin or phenobarbitol and see if he doesn't get better results with his mood. Remember newer drugs have not been adequately tested until many years after it has been released on the public at large.  Your son is essentially a lab rat taking the new drugs.  I have read that as a person with epilepsy gets older they can experience anger issues and sometimes psychosis from being on the drugs for too long.  I know from personal experience that antiepileptic drugs can depress you and make you feel suicidal as well. See if you can't get him on a daily dose of fish oil (about 1 gram a day) as part of his regiment.  Fish oil is known to improve a person's mood.  Also find out if he is getting enough sunlight at the group home as well as adequate attention.  Again, the combination of his medicine could very well be the problem to his mood swings.  Find out the side effects of every one of them.","answer"
"Lamictal Behavorial Problems","https://www.medhelp.org/posts/Epilepsy/Lamictal-Behavorial-Problems/show/1190443","cogarcia","2010-04-08T14:22:39-04:00","I'm 32 and take Lamictal 500mg three times a day dilantin 300mg three times a day and Keppra xr 1500mg three times a day. The Lamitctal gives me bad mood swing I snap into a rage very quick. Someone can look at me wrong and I turn on them and scream and yell for no good reason and the next minute I'm the happy normal person I am.","answer"
